station_id;00:00;01:00;02:00;03:00;04:00;05:00;06:00;07:00;08:00;09:00;10:00;11:00;12:00;13:00;14:00;15:00;16:00;17:00;18:00;19:00;20:00;21:00;22:00;23:00;capacity;lat;long;DisttoCentre;labels;labelsPCA
46;6,0;5,0;5,0;6,0;8,0;15,0;57,0;81,0;87,0;86,0;84,0;78,0;75,0;73,0;71,0;61,0;40,0;23,0;15,0;17,0;17,0;14,0;12,0;11,0;54;41,388359000000285;2,193003999999979;1,93;3;2
47;8,0;6,0;5,0;5,0;6,0;6,0;34,0;75,0;86,0;84,0;79,0;69,0;71,0;72,0;71,0;63,0;37,0;17,0;9,0;7,0;12,0;14,0;14,0;15,0;47;41,38983100000035;2,1911470000000004;1,79;3;2
48;59,0;57,0;51,0;50,0;49,0;57,0;66,0;73,0;75,0;74,0;70,0;56,0;52,0;47,0;49,0;42,0;25,0;19,0;25,0;32,0;43,0;50,0;55,0;57,0;21;41,396085000000255;2,1870730000000345;1,74;1;1
49;37,0;35,0;27,0;22,0;19,0;12,0;11,0;33,0;61,0;73,0;78,0;82,0;82,0;78,0;80,0;78,0;73,0;75,0;77,0;75,0;67,0;62,0;57,0;51,0;21;41,391060000000664;2,1964570000000085;2,25;1;1
50;67,0;65,0;60,0;52,0;47,0;62,0;74,0;41,0;33,0;25,0;26,0;29,0;31,0;32,0;41,0;54,0;65,0;74,0;81,0;80,0;84,0;80,0;80,0;79,0;18;41,375;2,1703500000000213;1,33;4;4
51;37,0;31,0;27,0;27,0;32,0;34,0;38,0;44,0;60,0;76,0;75,0;70,0;55,0;59,0;59,0;62,0;65,0;63,0;55,0;41,0;41,0;42,0;40,0;36,0;20;41,38405399999937;2,1690189999999965;0,34;1;1
53;29,0;26,0;24,0;23,0;30,0;37,0;49,0;69,0;82,0;83,0;81,0;79,0;70,0;69,0;69,0;66,0;67,0;64,0;62,0;44,0;38,0;40,0;39,0;33,0;21;41,385226999999716;2,173877999999998;0,38;1;1
54;91,0;92,0;89,0;87,0;78,0;76,0;72,0;62,0;58,0;55,0;43,0;45,0;49,0;45,0;58,0;77,0;84,0;83,0;88,0;77,0;79,0;87,0;91,0;92,0;19;41,37763500000048;2,1705859999999766;1,04;4;4
55;43,0;42,0;38,0;32,0;28,0;38,0;40,0;37,0;56,0;69,0;73,0;71,0;66,0;59,0;51,0;59,0;65,0;65,0;62,0;52,0;55,0;52,0;49,0;44,0;19;41,381153999999654;2,173496999999998;0,71;1;1
56;36,0;28,0;22,0;14,0;13,0;21,0;56,0;83,0;90,0;85,0;68,0;70,0;62,0;57,0;72,0;82,0;81,0;87,0;81,0;56,0;51,0;56,0;59,0;50,0;27;41,37701100000029;2,1758339999999747;1,21;1;1
57;46,0;43,0;38,0;30,0;29,0;33,0;53,0;76,0;83,0;84,0;83,0;81,0;73,0;61,0;72,0;78,0;74,0;77,0;74,0;63,0;60,0;59,0;56,0;48,0;25;41,37675799999955;2,177093000000012;1,28;1;1
